date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:33	89104/89104	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:16%20GMT	https://www.ecured.cu/index.php?title=EcuRed:Enciclopedia_cubana&action=history	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/indexa2f7.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:33	63162/63162	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:30%20GMT	https://www.ecured.cu/1_de_septiembre	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/1_de_septiembre.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:34	36752/36752	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:17%20GMT	https://www.ecured.cu/2022	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/2022.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:35	180046/180046	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:31%20GMT	https://www.ecured.cu/Cuba	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Cuba.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:35	72360/72360	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:18%20GMT	https://www.ecured.cu/COVID-19	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/COVID-19.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:35	37884/37884	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:32%20GMT	https://www.ecured.cu/Archivo:Quote1.png	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Archivo_Quote1.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:36	148/148	---M--	200	added ('OK')	image/png	etag:%224c7c12b1-94%22	https://www.ecured.cu/images/5/56/Quote1.png	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/images/5/56/Quote1.png	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:36	37911/37911	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2002:00:33%20GMT	https://www.ecured.cu/Archivo:Quote2.png	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Archivo_Quote2.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:36	249/249	---M--	200	added ('OK')	image/png	etag:%2250e635bb-f9%22	https://www.ecured.cu/images/thumb/8/88/Quote2.png/15px-Quote2.png	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/images/thumb/8/88/Quote2.png/15px-Quote2.png	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:37	144729/144729	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2001:58:20%20GMT	https://www.ecured.cu/Jos%c3%a9_Mart%c3%ad	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/Jos%c3%a9_Mart%c3%ad.html	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
21:00:38	1328/1328	---M--	200	added ('OK')	image/png	etag:%2253babab5-530%22	https://www.ecured.cu/images/thumb/7/7c/Firma-jose-marti.png/100px-Firma-jose-marti.png	C:/Users/Crisb/Desktop/7mo%20Semestre/Redes%20Basicas/Pagina%20web/www.ecured.cu/images/thumb/7/7c/Firma-jose-marti.png/100px-Firma-jose-marti.png	(from https://www.ecured.cu/EcuRed:Enciclopedia_cubana)
